# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6558.072335 1.001917 0.002584 1.5590 636.3 -0.481 0.619 ISL00192924
6558.072925 1.002988 0.002607 1.5630 647.0 -0.881 -0.066 ISL00192925
6558.073515 1.002380 0.002619 1.5680 648.6 -0.467 -0.147 ISL00192926
6558.074105 1.005910 0.002639 1.5720 652.0 -0.185 -0.246 ISL00192927
6558.074695 1.004328 0.002645 1.5770 655.1 -0.740 -0.421 ISL00192928
6558.075284 1.004626 0.002653 1.5810 660.4 -0.846 0.118 ISL00192929
6558.075875 1.000708 0.002652 1.5860 655.0 -0.791 -0.168 ISL00192930
6558.076464 1.000000 0.002658 1.5910 659.2 -0.870 0.123 ISL00192931
6558.077104 1.005605 0.002689 1.5960 665.7 -0.520 0.211 ISL00192932
6558.077694 1.005297 0.002697 1.6010 673.2 -0.208 0.404 ISL00192933
6558.078284 1.003241 0.002717 1.6060 680.6 -0.636 -0.210 ISL00192934
6558.078874 1.000604 0.002731 1.6110 689.3 -1.249 0.082 ISL00192935
6558.083643 1.004121 0.002822 1.6520 733.4 -0.662 -0.520 ISL00192943
6558.084234 1.004993 0.002826 1.6580 718.3 -0.828 -0.274 ISL00192944
6558.084823 1.003226 0.002824 1.6630 709.0 -0.712 0.006 ISL00192945
6558.085413 1.001413 0.002829 1.6690 712.9 -0.359 0.211 ISL00192946
6558.086003 1.005434 0.002850 1.6750 718.2 -0.931 -0.232 ISL00192947
6558.086593 1.003358 0.002850 1.6800 720.3 -0.451 0.641 ISL00192948
6558.087183 1.000633 0.002859 1.6860 728.1 -0.486 -0.257 ISL00192949
6558.087773 1.002240 0.002867 1.6920 712.1 -0.729 -0.539 ISL00192950
