# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6558.011534 0.991856 0.004216 1.2878 190.1 -2.194 -0.532 MTOTI0001188267
6558.011921 0.990691 0.004198 1.2887 190.6 -4.275 -0.545 MTOTI0001188268
6558.012301 0.998250 0.004246 1.2895 192.7 -1.049 -0.383 MTOTI0001188269
6558.012687 0.995213 0.004206 1.2903 198.8 0.378 -0.436 MTOTI0001188270
6558.013068 0.994641 0.004203 1.2912 205.9 0.095 -0.489 MTOTI0001188271
6558.013454 0.992134 0.004197 1.2920 218.8 -0.517 -0.519 MTOTI0001188272
6558.013834 0.996901 0.004211 1.2929 212.6 -0.149 -0.430 MTOTI0001188273
6558.014220 0.992357 0.004222 1.2938 202.4 -0.934 -0.400 MTOTI0001188274
6558.014601 1.001304 0.004256 1.2947 213.2 -3.327 -0.443 MTOTI0001188275
6558.014987 0.996061 0.004229 1.2956 223.7 -2.705 -0.566 MTOTI0001188276
6558.015367 0.997310 0.004229 1.2965 213.5 -1.643 -0.437 MTOTI0001188277
6558.015753 0.997365 0.004222 1.2974 209.4 -1.464 -0.519 MTOTI0001188278
6558.016134 0.993224 0.004236 1.2983 206.0 -1.149 -0.206 MTOTI0001188279
6558.016520 0.999771 0.004218 1.2992 200.8 -0.794 -0.316 MTOTI0001188280
6558.016900 1.001368 0.004239 1.3001 199.5 -2.135 -0.215 MTOTI0001188281
6558.017286 1.012110 0.004282 1.3011 199.2 -4.480 -0.343 MTOTI0001188282
6558.017667 0.996701 0.004229 1.3020 198.9 -4.833 -0.330 MTOTI0001188283
6558.018052 1.002693 0.004235 1.3030 199.4 -3.549 -0.219 MTOTI0001188284
6558.018432 1.000335 0.004222 1.3040 198.8 -0.649 -0.316 MTOTI0001188285
6558.018818 1.002513 0.004225 1.3050 199.9 -1.258 -0.327 MTOTI0001188286
6558.019199 1.007088 0.004233 1.3060 200.1 -1.216 -0.253 MTOTI0001188287
6558.019585 1.005433 0.004248 1.3070 201.5 -2.040 -0.403 MTOTI0001188288
6558.019965 1.010359 0.004306 1.3080 203.1 -3.081 -0.311 MTOTI0001188289
6558.020351 1.009244 0.004276 1.3090 203.8 -4.097 -0.446 MTOTI0001188290
6558.020732 1.005343 0.004256 1.3100 203.5 -2.475 -0.454 MTOTI0001188291
6558.021118 1.003979 0.004252 1.3109 204.4 -1.678 -0.449 MTOTI0001188292
6558.021498 1.014189 0.004358 1.3121 209.9 -2.340 -0.459 MTOTI0001188293
6558.021884 1.013906 0.004336 1.3132 209.5 -2.336 -0.459 MTOTI0001188294
6558.022265 1.013959 0.004342 1.3142 209.2 -0.946 -0.204 MTOTI0001188295
6558.022651 1.014426 0.004333 1.3153 209.1 -3.164 -0.256 MTOTI0001188296
6558.023031 1.013628 0.004314 1.3164 208.9 -4.834 -0.422 MTOTI0001188297
6558.023417 1.019728 0.004421 1.3175 221.2 -3.737 -0.331 MTOTI0001188298
6558.026482 1.015632 0.004375 1.3266 216.3 -0.678 -0.214 MTOTI0001188306
6558.026863 1.021673 0.004386 1.3278 221.1 -0.668 -0.319 MTOTI0001188307
6558.027249 1.029888 0.004406 1.3290 221.5 -1.224 -0.285 MTOTI0001188308
6558.027630 1.023863 0.004413 1.3302 223.7 -0.820 -0.412 MTOTI0001188309
6558.028016 1.027633 0.004444 1.3314 224.1 -0.893 -0.229 MTOTI0001188310
6558.028397 1.020944 0.004409 1.3327 223.0 -3.281 -0.283 MTOTI0001188311
6558.029164 1.033334 0.004459 1.3352 222.2 -1.727 -0.337 MTOTI0001188313
6558.029550 1.023950 0.004457 1.3364 222.7 -0.602 -0.339 MTOTI0001188314
6558.029930 1.027482 0.004442 1.3377 220.6 -1.015 -0.251 MTOTI0001188315
6558.030316 1.021324 0.004457 1.3389 217.6 -0.872 -0.439 MTOTI0001188316
6558.030697 1.026221 0.004461 1.3402 214.3 -1.913 -0.482 MTOTI0001188317
6558.031082 1.029432 0.004453 1.3415 213.3 -4.216 -0.528 MTOTI0001188318
6558.031463 1.033993 0.004478 1.3428 213.1 -4.642 -0.466 MTOTI0001188319
6558.031849 1.028750 0.004414 1.3442 209.5 -1.440 -0.147 MTOTI0001188320
6558.032229 1.024388 0.004392 1.3455 205.9 -0.574 -0.234 MTOTI0001188321
6558.032615 1.030729 0.004418 1.3468 206.9 -1.161 -0.184 MTOTI0001188322
6558.032996 1.029304 0.004427 1.3482 209.1 -1.214 -0.131 MTOTI0001188323
6558.033382 1.027098 0.004446 1.3496 211.1 -0.193 -0.182 MTOTI0001188324
6558.033762 1.026869 0.004465 1.3509 215.6 -2.397 -0.236 MTOTI0001188325
6558.034148 1.031140 0.004471 1.3523 219.7 -4.222 -0.262 MTOTI0001188326
6558.034529 1.034453 0.004493 1.3537 221.1 -3.058 -0.266 MTOTI0001188327
6558.034915 1.026219 0.004459 1.3551 221.3 -2.387 -0.257 MTOTI0001188328
6558.035295 1.019437 0.004446 1.3565 219.2 -2.873 -0.403 MTOTI0001188329
6558.035681 1.026089 0.004461 1.3579 218.3 -0.986 -0.339 MTOTI0001188330
6558.036062 1.030313 0.004477 1.3594 217.1 -0.887 -0.412 MTOTI0001188331
6558.036447 1.028769 0.004502 1.3608 216.6 -3.208 -0.356 MTOTI0001188332
6558.036828 1.027265 0.004479 1.3623 215.8 -5.392 -0.502 MTOTI0001188333
6558.037214 1.017823 0.004453 1.3639 220.1 -4.797 -0.447 MTOTI0001188334
6558.037595 1.025961 0.004472 1.3653 222.0 -0.580 -0.332 MTOTI0001188335
6558.037981 1.025242 0.004473 1.3668 219.4 -0.771 -0.185 MTOTI0001188336
6558.038361 1.018484 0.004458 1.3683 220.5 -1.147 -0.384 MTOTI0001188337
6558.038748 1.036335 0.004513 1.3698 217.0 -0.875 -0.361 MTOTI0001188338
6558.039128 1.026941 0.004526 1.3713 216.3 -1.271 -0.381 MTOTI0001188339
6558.039514 1.024065 0.004503 1.3729 212.8 -3.563 -0.436 MTOTI0001188340
6558.039894 1.035804 0.004525 1.3744 208.8 -3.393 -0.453 MTOTI0001188341
6558.040281 1.030111 0.004492 1.3760 207.0 -2.302 -0.479 MTOTI0001188342
6558.040661 1.029519 0.004512 1.3776 205.7 -1.763 -0.393 MTOTI0001188343
6558.041047 1.037206 0.004561 1.3792 208.0 -2.723 -0.518 MTOTI0001188344
6558.041427 1.033437 0.004541 1.3808 212.8 -0.833 -0.451 MTOTI0001188345
6558.041814 1.028304 0.004531 1.3824 219.3 -1.935 -0.447 MTOTI0001188346
6558.042194 1.030772 0.004571 1.3840 223.2 -4.618 -0.708 MTOTI0001188347
6558.042579 1.031746 0.004578 1.3857 224.3 -4.978 -0.634 MTOTI0001188348
6558.042960 1.027011 0.004574 1.3873 225.0 -0.623 -0.097 MTOTI0001188349
6558.043347 1.035768 0.004570 1.3890 224.0 -0.008 -0.008 MTOTI0001188350
6558.043726 1.024454 0.004542 1.3906 224.7 -0.564 -0.111 MTOTI0001188351
6558.044112 1.034036 0.004573 1.3923 225.9 -0.457 -0.142 MTOTI0001188352
6558.044492 1.030162 0.004558 1.3940 226.3 -1.172 -0.194 MTOTI0001188353
6558.044879 1.030421 0.004581 1.3957 229.0 -3.467 -0.280 MTOTI0001188354
6558.045259 1.027731 0.004541 1.3975 230.8 -3.668 -0.275 MTOTI0001188355
6558.045645 1.028477 0.004554 1.3992 232.9 -2.498 -0.265 MTOTI0001188356
6558.046026 1.023585 0.004525 1.4009 231.1 -1.509 -0.146 MTOTI0001188357
6558.046412 1.025214 0.004561 1.4027 227.1 -1.736 -0.127 MTOTI0001188358
6558.046792 1.015892 0.004573 1.4045 227.0 -0.840 -0.365 MTOTI0001188359
6558.047178 1.021979 0.004551 1.4062 228.9 -0.721 -0.415 MTOTI0001188360
6558.047559 1.020612 0.004576 1.4080 230.3 -2.814 -0.473 MTOTI0001188361
6558.047945 1.028471 0.004591 1.4099 231.5 -4.971 -0.563 MTOTI0001188362
6558.048325 1.022285 0.004583 1.4117 233.5 -3.916 -0.625 MTOTI0001188363
6558.048711 1.031536 0.004610 1.4135 234.1 -2.792 -0.696 MTOTI0001188364
6558.049091 1.023589 0.004595 1.4154 235.6 -0.959 -0.459 MTOTI0001188365
6558.049478 1.022257 0.004591 1.4173 236.9 -1.219 -0.329 MTOTI0001188366
6558.049858 1.022775 0.004610 1.4191 237.4 -0.930 -0.396 MTOTI0001188367
6558.050244 1.027234 0.004658 1.4210 238.9 -2.904 -0.515 MTOTI0001188368
6558.050624 1.022977 0.004636 1.4229 239.5 -3.777 -0.112 MTOTI0001188369
6558.051011 1.029436 0.004649 1.4249 240.3 -3.206 -0.319 MTOTI0001188370
6558.051391 1.030396 0.004662 1.4268 241.4 -1.920 -0.414 MTOTI0001188371
6558.051776 1.022032 0.004636 1.4288 240.4 -1.883 -0.328 MTOTI0001188372
6558.052157 1.021048 0.004649 1.4307 240.6 -2.209 -0.473 MTOTI0001188373
6558.052544 1.020359 0.004639 1.4327 239.2 -2.173 -0.412 MTOTI0001188374
6558.052924 1.028889 0.004674 1.4347 238.2 -1.751 -0.250 MTOTI0001188375
6558.053309 1.022723 0.004661 1.4367 237.1 -4.105 -0.363 MTOTI0001188376
6558.053690 1.021139 0.004654 1.4388 238.6 -4.561 -0.251 MTOTI0001188377
6558.054077 1.027790 0.004685 1.4408 239.3 -3.356 -0.346 MTOTI0001188378
6558.054457 1.030946 0.004698 1.4428 243.6 -2.946 -0.563 MTOTI0001188379
6558.054843 1.024083 0.004697 1.4449 246.8 -1.344 -0.301 MTOTI0001188380
6558.055224 1.030157 0.004738 1.4470 247.7 -1.421 -0.306 MTOTI0001188381
6558.055610 1.024581 0.004733 1.4491 248.9 -2.275 -0.385 MTOTI0001188382
6558.055990 1.023216 0.004759 1.4512 249.1 -4.925 -0.459 MTOTI0001188383
6558.056756 1.033817 0.004771 1.4554 256.4 -2.200 -0.379 MTOTI0001188385
6558.057142 1.021283 0.004746 1.4575 263.3 -1.506 -0.278 MTOTI0001188386
6558.057522 1.028295 0.004744 1.4597 260.0 -2.295 -0.309 MTOTI0001188387
6558.057908 1.026327 0.004756 1.4619 250.3 -2.317 -0.294 MTOTI0001188388
6558.058289 1.031133 0.004797 1.4641 246.9 -2.936 -0.490 MTOTI0001188389
6558.058675 1.026351 0.004783 1.4663 245.5 -3.185 -0.257 MTOTI0001188390
6558.059055 1.020926 0.004733 1.4686 247.3 -4.956 -0.172 MTOTI0001188391
6558.059822 1.028248 0.004769 1.4730 247.6 -3.155 -0.363 MTOTI0001188393
6558.060208 1.028159 0.004808 1.4753 247.1 -1.978 -0.229 MTOTI0001188394
6558.060588 1.026636 0.004811 1.4776 248.0 -2.512 -0.232 MTOTI0001188395
6558.060974 1.030922 0.004788 1.4799 249.5 -2.527 -0.281 MTOTI0001188396
6558.061355 1.030726 0.004815 1.4823 250.2 -4.556 -0.384 MTOTI0001188397
6558.062507 1.019897 0.004792 1.4893 257.9 -2.128 -0.235 MTOTI0001188400
6558.062888 1.018344 0.004813 1.4917 263.8 -2.580 -0.447 MTOTI0001188401
6558.063654 1.020406 0.004809 1.4965 255.4 -2.893 -0.377 MTOTI0001188403
6558.064040 1.025026 0.004861 1.4990 257.5 -2.789 -0.281 MTOTI0001188404
6558.065187 1.025140 0.004816 1.5064 257.1 -4.838 -0.420 MTOTI0001188407
6558.065954 1.020199 0.004847 1.5114 262.0 -3.062 -0.479 MTOTI0001188409
6558.066340 1.031932 0.004888 1.5140 266.3 -2.920 -0.505 MTOTI0001188410
6558.067486 1.031446 0.004938 1.5217 268.6 -7.728 -0.876 MTOTI0001188413
6558.068639 1.027301 0.004871 1.5296 265.4 -3.590 -0.248 MTOTI0001188416
6558.069019 1.016167 0.004845 1.5322 265.6 -3.963 -0.331 MTOTI0001188417
6558.070171 1.027654 0.004926 1.5404 271.0 -8.702 -0.385 MTOTI0001188420
6558.070938 1.027129 0.004916 1.5459 272.0 -2.757 -0.523 MTOTI0001188422
6558.071318 1.015495 0.004883 1.5487 273.2 -3.270 -0.694 MTOTI0001188423
6558.073236 1.027415 0.005005 1.5629 290.8 -3.537 -0.487 MTOTI0001188428
6558.073617 1.024074 0.005019 1.5658 291.3 -2.608 -0.339 MTOTI0001188429
6558.074384 1.020291 0.005030 1.5717 299.0 -3.305 -0.500 MTOTI0001188431
6558.074770 1.025978 0.005072 1.5747 302.8 -3.304 -0.421 MTOTI0001188432
6558.075151 1.021038 0.005094 1.5776 302.4 -2.246 -0.332 MTOTI0001188433
6558.077069 1.032198 0.005181 1.5928 308.1 -1.140 -0.072 MTOTI0001188438
6558.077450 1.020846 0.005158 1.5959 307.4 -1.004 -0.211 MTOTI0001188439
