# Wavelength[nm] MITSuME_g MITSuME_Rc MITSuME_Ic 2MASS_J IRSF_J IRSF_H IRSF_Ks
706 0 0.824 0.018 0 0 0 0
707 0 0.825 0.03 0 0 0 0
708 0 0.825 0.047 0 0 0 0
709 0 0.824 0.068 0 0 0 0
710 0 0.818 0.094 0 0 0 0
711 0 0.806 0.123 0 0 0 0
712 0 0.781 0.159 0 0 0 0
713 0 0.743 0.202 0 0 0 0
714 0 0.688 0.255 0 0 0 0
715 0 0.618 0.316 0 0 0 0
716 0 0.538 0.383 0 0 0 0
717 0 0.452 0.452 0 0 0 0
718 0 0.369 0.516 0 0 0 0
719 0 0.295 0.576 0 0 0 0
720 0 0.23 0.64 0 0 0 0
721 0 0.179 0.715 0 0 0 0
722 0 0.138 0.801 0 0 0 0
723 0 0.106 0.88 0 0 0 0
724 0 0.081 0.935 0 0 0 0
725 0 0.063 0.968 0 0 0 0
726 0 0.049 0.986 0 0 0 0
727 0 0.038 0.996 0 0 0 0
728 0 0.03 1 0 0 0 0
729 0 0.023 0.998 0 0 0 0
730 0 0.019 0.993 0 0 0 0
731 0 0.015 0.985 0 0 0 0
732 0 0.012 0.978 0 0 0 0
733 0 0.01 0.97 0 0 0 0
734 0 0.008 0.964 0 0 0 0
735 0 0.006 0.958 0 0 0 0
736 0 0.005 0.953 0 0 0 0
737 0 0.004 0.947 0 0 0 0
738 0 0.004 0.941 0 0 0 0
739 0 0.003 0.936 0 0 0 0
740 0 0.003 0.93 0 0 0 0
741 0 0.002 0.925 0 0 0 0
742 0 0.002 0.919 0 0 0 0
743 0 0.002 0.913 0 0 0 0
744 0 0.001 0.908 0 0 0 0
745 0 0.001 0.902 0 0 0 0
746 0 0.001 0.896 0 0 0 0
747 0 0.001 0.891 0 0 0 0
748 0 0.001 0.886 0 0 0 0
749 0 0.001 0.881 0 0 0 0
750 0 0.001 0.875 0 0 0 0
751 0 0 0.873 0 0 0 0
752 0 0 0.87 0 0 0 0
753 0 0 0.866 0 0 0 0
754 0 0 0.863 0 0 0 0
755 0 0 0.858 0 0 0 0
756 0 0 0.854 0 0 0 0
757 0 0 0.849 0 0 0 0
758 0 0 0.845 0 0 0 0
759 0 0 0.841 0 0 0 0
760 0 0 0.838 0 0 0 0
761 0 0 0.835 0 0 0 0
762 0 0 0.832 0 0 0 0
763 0 0 0.83 0 0 0 0
764 0 0 0.828 0 0 0 0
765 0 0 0.826 0 0 0 0
766 0 0 0.823 0 0 0 0
767 0 0 0.82 0 0 0 0
768 0 0 0.816 0 0 0 0
769 0 0 0.811 0 0 0 0
770 0 0 0.806 0 0 0 0
771 0 0 0.804 0 0 0 0
772 0 0 0.803 0 0 0 0
773 0 0 0.803 0 0 0 0
774 0 0 0.802 0 0 0 0
775 0 0 0.802 0 0 0 0
776 0 0 0.802 0 0 0 0
777 0 0 0.803 0 0 0 0
778 0 0 0.802 0 0 0 0
779 0 0 0.802 0 0 0 0
780 0 0 0.801 0 0 0 0
781 0 0 0.799 0 0 0 0
782 0 0 0.795 0 0 0 0
783 0 0 0.792 0 0 0 0
784 0 0 0.789 0 0 0 0
785 0 0 0.787 0 0 0 0
786 0 0 0.785 0 0 0 0
787 0 0 0.784 0 0 0 0
788 0 0 0.783 0 0 0 0
789 0 0 0.783 0 0 0 0
790 0 0 0.783 0 0 0 0
791 0 0 0.782 0 0 0 0
792 0 0 0.782 0 0 0 0
793 0 0 0.781 0 0 0 0
794 0 0 0.78 0 0 0 0
795 0 0 0.778 0 0 0 0
796 0 0 0.776 0 0 0 0
797 0 0 0.774 0 0 0 0
798 0 0 0.772 0 0 0 0
799 0 0 0.771 0 0 0 0
800 0 0 0.769 0 0 0 0
801 0 0 0.765 0 0 0 0
802 0 0 0.763 0 0 0 0
803 0 0 0.761 0 0 0 0
804 0 0 0.757 0 0 0 0
805 0 0 0.755 0 0 0 0
806 0 0 0.752 0 0 0 0
807 0 0 0.748 0 0 0 0
808 0 0 0.744 0 0 0 0
809 0 0 0.74 0 0 0 0
810 0 0 0.736 0 0 0 0
811 0 0 0.732 0 0 0 0
812 0 0 0.729 0 0 0 0
813 0 0 0.725 0 0 0 0
814 0 0 0.722 0 0 0 0
815 0 0 0.72 0 0 0 0
816 0 0 0.717 0 0 0 0
817 0 0 0.715 0 0 0 0
818 0 0 0.713 0 0 0 0
819 0 0 0.711 0 0 0 0
820 0 0 0.708 0 0 0 0
821 0 0 0.702 0 0 0 0
822 0 0 0.696 0 0 0 0
823 0 0 0.69 0 0 0 0
824 0 0 0.683 0 0 0 0
825 0 0 0.677 0 0 0 0
826 0 0 0.671 0 0 0 0
827 0 0 0.665 0 0 0 0
828 0 0 0.659 0 0 0 0
829 0 0 0.654 0 0 0 0
830 0 0 0.649 0 0 0 0
831 0 0 0.644 0 0 0 0
832 0 0 0.64 0 0 0 0
833 0 0 0.637 0 0 0 0
834 0 0 0.633 0 0 0 0
835 0 0 0.629 0 0 0 0
836 0 0 0.624 0 0 0 0
837 0 0 0.62 0 0 0 0
838 0 0 0.615 0 0 0 0
839 0 0 0.61 0 0 0 0
840 0 0 0.604 0 0 0 0
841 0 0 0.598 0 0 0 0
842 0 0 0.592 0 0 0 0
843 0 0 0.586 0 0 0 0
844 0 0 0.58 0 0 0 0
845 0 0 0.575 0 0 0 0
846 0 0 0.569 0 0 0 0
847 0 0 0.564 0 0 0 0
848 0 0 0.559 0 0 0 0
849 0 0 0.554 0 0 0 0
850 0 0 0.549 0 0 0 0
851 0 0 0.544 0 0 0 0
852 0 0 0.537 0 0 0 0
