# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6518.064731 0.995121 0.004269 1.2546 144.4 -1.700 0.632 MTOTR0001166637
6518.065112 0.995323 0.004275 1.2542 145.2 -1.849 0.535 MTOTR0001166638
6518.065498 0.991348 0.004265 1.2538 145.7 -0.465 0.577 MTOTR0001166639
6518.065878 0.989453 0.004246 1.2535 153.5 0.732 0.470 MTOTR0001166640
6518.066264 0.996670 0.004266 1.2532 163.6 0.613 0.715 MTOTR0001166641
6518.066645 0.986465 0.004251 1.2529 136.9 0.633 0.492 MTOTR0001166642
6518.067031 0.989679 0.004281 1.2525 152.2 0.422 0.589 MTOTR0001166643
6518.067411 0.997444 0.004286 1.2522 143.1 -1.556 0.522 MTOTR0001166644
6518.067797 0.988374 0.004245 1.2519 142.1 -2.997 0.668 MTOTR0001166645
6518.068178 0.989559 0.004228 1.2516 149.2 -1.754 0.627 MTOTR0001166646
6518.068564 0.983412 0.004186 1.2514 140.1 -0.402 0.584 MTOTR0001166647
6518.068945 0.990048 0.004224 1.2511 139.0 -0.638 0.522 MTOTR0001166648
6518.069331 0.986474 0.004203 1.2508 138.6 -0.458 0.467 MTOTR0001166649
6518.069712 0.989066 0.004228 1.2505 154.8 -0.592 0.536 MTOTR0001166650
6518.070098 0.987369 0.004237 1.2503 146.7 -2.294 0.566 MTOTR0001166651
6518.070479 0.978909 0.004202 1.2500 147.1 -4.152 0.628 MTOTR0001166652
6518.070865 0.977398 0.004209 1.2498 162.0 -3.203 0.743 MTOTR0001166653
6518.071245 0.968322 0.004205 1.2496 172.7 -0.454 0.504 MTOTR0001166654
6518.071632 0.979325 0.004223 1.2493 191.2 -0.102 0.479 MTOTR0001166655
6518.072012 0.976891 0.004179 1.2491 165.5 -0.275 0.599 MTOTR0001166656
6518.072399 0.980375 0.004179 1.2489 141.5 -0.155 0.535 MTOTR0001166657
6518.072779 0.973645 0.004178 1.2487 138.7 -1.455 0.448 MTOTR0001166658
6518.073166 0.979028 0.004177 1.2485 138.2 -3.643 0.368 MTOTR0001166659
6518.073546 0.971367 0.004147 1.2483 127.8 -3.271 0.535 MTOTR0001166660
6518.073933 0.978688 0.004157 1.2481 142.2 -1.851 0.507 MTOTR0001166661
6518.074313 0.974940 0.004165 1.2480 142.4 -1.221 0.407 MTOTR0001166662
6518.074700 0.967892 0.004143 1.2478 157.9 -1.188 0.404 MTOTR0001166663
6518.075080 0.969118 0.004163 1.2476 133.8 -0.981 0.162 MTOTR0001166664
6518.075466 0.978822 0.004176 1.2475 125.8 -1.498 0.303 MTOTR0001166665
6518.075847 0.976459 0.004199 1.2473 132.9 -3.762 0.455 MTOTR0001166666
6518.076233 0.982772 0.004212 1.2472 148.1 -4.118 0.248 MTOTR0001166667
6518.076613 0.977327 0.004178 1.2471 124.1 -2.760 0.430 MTOTR0001166668
6518.077000 0.970586 0.004163 1.2470 131.8 0.406 0.493 MTOTR0001166669
6518.077380 0.966352 0.004155 1.2469 132.3 0.363 0.449 MTOTR0001166670
6518.077766 0.977683 0.004183 1.2468 132.3 0.506 0.320 MTOTR0001166671
6518.078147 0.964176 0.004169 1.2467 132.0 0.120 0.391 MTOTR0001166672
6518.078533 0.970284 0.004189 1.2466 139.8 -1.635 0.337 MTOTR0001166673
