# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       5791.11082812        5.572805E+04
       5793.33250781        5.666322E+04
       5795.55565234        5.756365E+04
       5797.77830859        5.824810E+04
       5800.00194141        5.868812E+04
       5802.22606250        5.899557E+04
       5804.45164844        5.918746E+04
       5806.67674609        5.919933E+04
       5808.90330859        5.914477E+04
       5811.13084766        5.911378E+04
       5813.35838672        5.903539E+04
       5815.58787891        5.902384E+04
       5817.81639453        5.902136E+04
       5820.04686328        5.913965E+04
       5822.27733203        5.936977E+04
       5824.50828906        5.955813E+04
       5826.74022266        5.970419E+04
       5828.97313281        5.997710E+04
       5831.20701953        6.003262E+04
       5833.44041797        6.007806E+04
       5835.67479297        6.020150E+04
       5837.91112109        6.032299E+04
       5840.14744922        6.026044E+04
       5842.38426562        6.018237E+04
       5844.62205859        6.003449E+04
       5846.85936328        5.962349E+04
       5849.09862109        5.889796E+04
       5851.33787891        5.790201E+04
       5853.57957812        5.685622E+04
       5855.82030078        5.600309E+04
       5858.06151172        5.557357E+04
       5860.30467578        5.544552E+04
       5862.54686328        5.572431E+04
       5864.79149219        5.595516E+04
       5867.03612109        5.604156E+04
       5869.28123828        5.593452E+04
       5871.52733203        5.562676E+04
       5873.77342578        5.487237E+04
       5876.02147266        5.336276E+04
       5878.26854297        5.114108E+04
       5880.51756641        4.790987E+04
       5882.76658984        4.373119E+04
       5885.01707812        3.887201E+04
       5887.26756641        3.395279E+04
       5889.51903125        2.981549E+04
       5891.77049609        2.758062E+04
       5894.02342578        2.769786E+04
       5896.27635547        3.025948E+04
       5898.52977344        3.449647E+04
       5900.78465625        3.951850E+04
       5903.03905078        4.458861E+04
       5905.29491016        4.884027E+04
       5907.55076953        5.175007E+04
       5909.80809375        5.359190E+04
       5912.06541797        5.477453E+04
       5914.32274219        5.561869E+04
       5916.58201953        5.619229E+04
       5918.84080859        5.673758E+04
       5921.10057422        5.730369E+04
       5923.36180469        5.781539E+04
       5925.62254687        5.828443E+04
       5927.88377734        5.871301E+04
       5930.14598437        5.909610E+04
       5932.40916797        5.951070E+04
       5934.67235156        5.981988E+04
       5936.93700000        6.017868E+04
       5939.20164844        6.050909E+04
       5941.46629687        6.082047E+04
       5943.73289844        6.109030E+04
       5945.99852344        6.116724E+04
       5948.26658984        6.110182E+04
       5950.53465625        6.088253E+04
       5952.80272266        6.071929E+04
       5955.07176562        6.078721E+04
       5957.34178516        6.108682E+04
       5959.61131641        6.140752E+04
       5961.88231250        6.171892E+04
       5964.15379687        6.203283E+04
       5966.42625781        6.227312E+04
       5968.69823047        6.247621E+04
       5970.97166797        6.247403E+04
       5973.24559375        6.235615E+04
       5975.52049609        6.212359E+04
       5977.79539844        6.196373E+04
       5980.07127734        6.197920E+04
       5982.34764453        6.222920E+04
       5984.62498828        6.257403E+04
       5986.90184375        6.305166E+04
       5989.18016406        6.362561E+04
       5991.45848437        6.414659E+04
       5993.73826953        6.448822E+04
       5996.01854297        6.456412E+04
       5998.29930469        6.435572E+04
       6000.57957812        6.403291E+04
       6002.86278125        6.376666E+04
       6005.14451953        6.369051E+04
       6007.42772266        6.371397E+04
       6009.71141406        6.372284E+04
       6011.99559375        6.379766E+04
       6014.28026172        6.385149E+04
       6016.56639453        6.390330E+04
       6018.85203906        6.398529E+04
       6021.13866016        6.439851E+04
       6023.42625781        6.515576E+04
       6025.71434375        6.605826E+04
       6028.00242969        6.697510E+04
       6030.29198047        6.780329E+04
       6032.58201953        6.822085E+04
       6034.87205859        6.829090E+04
       6037.16307422        6.841125E+04
       6039.45506641        6.853969E+04
       6041.74705859        6.892886E+04
       6044.04002734        6.948566E+04
       6046.33397266        6.992766E+04
       6048.62791797        6.999513E+04
       6050.92235156        6.984205E+04
       6053.21776172        6.962869E+04
