# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       5727.49407031        6.971752E+04
       5729.72746875        6.955687E+04
       5731.96233203        6.953504E+04
       5734.19768359        6.986848E+04
       5736.43303516        7.030147E+04
       5738.66985156        7.059857E+04
       5740.90764453        7.076598E+04
       5743.14543750        7.089203E+04
       5745.38469531        7.097039E+04
       5747.62395313        7.118447E+04
       5749.86369922        7.136405E+04
       5752.10442188        7.131533E+04
       5754.34612109        7.129515E+04
       5756.58782031        7.151114E+04
       5758.83098438        7.189992E+04
       5761.07512500        7.227352E+04
       5763.31926563        7.249054E+04
       5765.56438281        7.267538E+04
       5767.80998828        7.301381E+04
       5770.05657031        7.297618E+04
       5772.30266406        7.215547E+04
       5774.55119922        7.085685E+04
       5776.79973438        6.965484E+04
       5779.04875781        6.872963E+04
       5781.29826953        6.805710E+04
       5783.54973438        6.790458E+04
       5785.79973438        6.852029E+04
       5788.05168750        6.980523E+04
       5790.30461719        7.150032E+04
       5792.55852344        7.326419E+04
       5794.81242969        7.464453E+04
       5797.06731250        7.551596E+04
       5799.32219531        7.622001E+04
       5801.57903125        7.672492E+04
       5803.83537891        7.702450E+04
       5806.09270313        7.713021E+04
       5808.35100391        7.700492E+04
       5810.61028125        7.713112E+04
       5812.86955859        7.741359E+04
       5815.12981250        7.764261E+04
       5817.39055469        7.793863E+04
       5819.65276172        7.846050E+04
       5821.91496875        7.902540E+04
       5824.17766406        7.936297E+04
       5826.44133594        7.952193E+04
       5828.70598438        7.949642E+04
       5830.97160938        7.955138E+04
       5833.23723438        7.963603E+04
       5835.50334766        7.967577E+04
       5837.77043750        7.950687E+04
       5840.03899219        7.929438E+04
       5842.30657031        7.904714E+04
       5844.57658984        7.859897E+04
       5846.84660938        7.781955E+04
       5849.11711719        7.681494E+04
       5851.38762500        7.603309E+04
       5853.66057422        7.553519E+04
       5855.93352344        7.519445E+04
       5858.20696094        7.518195E+04
       5860.48088672        7.549185E+04
       5862.75578906        7.602492E+04
       5865.03117969        7.650070E+04
       5867.30754688        7.678513E+04
       5869.58440234        7.679112E+04
       5871.86223438        7.666865E+04
       5874.14006641        7.630420E+04
       5876.41887500        7.520842E+04
       5878.69914844        7.317078E+04
       5880.97942188        7.039524E+04
       5883.26067188        6.739869E+04
       5885.54241016        6.463283E+04
       5887.82463672        6.186264E+04
       5890.10783984        5.982297E+04
       5892.39201953        5.938943E+04
       5894.67619922        6.078144E+04
       5896.96086719        6.368381E+04
       5899.24602344        6.680525E+04
       5901.53264453        6.994083E+04
       5903.81975391        7.247270E+04
       5906.10735156        7.384620E+04
       5908.39494922        7.436090E+04
       5910.68401172        7.454979E+04
       5912.97307422        7.461699E+04
       5915.26408984        7.460825E+04
       5917.55412891        7.471307E+04
       5919.84563281        7.519241E+04
       5922.13713672        7.588105E+04
       5924.43010547        7.644781E+04
       5926.72307422        7.689190E+04
       5929.01701953        7.718890E+04
       5931.31096484        7.740051E+04
       5933.60686328        7.739166E+04
       5935.90276172        7.739581E+04
       5938.19817188        7.757131E+04
       5940.49553516        7.771805E+04
       5942.79289844        7.793309E+04
       5945.09123828        7.810902E+04
       5947.38957813        7.823961E+04
       5949.68987109        7.840417E+04
       5951.98869922        7.849628E+04
       5954.28996875        7.879674E+04
       5956.59172656        7.918934E+04
       5958.89348438        7.979710E+04
       5961.19621875        8.065072E+04
       5963.49944141        8.154108E+04
