# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       5809.98582812        4.747516E+04
       5812.21287891        4.739953E+04
       5814.44041797        4.730087E+04
       5816.66795703        4.726578E+04
       5818.89744922        4.735293E+04
       5821.12694141        4.760636E+04
       5823.35789844        4.772540E+04
       5825.58885547        4.784975E+04
       5827.82030078        4.801931E+04
       5830.05272266        4.818256E+04
       5832.28612109        4.828610E+04
       5834.51951953        4.833128E+04
       5836.75487109        4.835834E+04
       5838.99022266        4.840371E+04
       5841.22606250        4.851118E+04
       5843.46287891        4.847048E+04
       5845.70018359        4.824195E+04
       5847.93846484        4.774912E+04
       5850.17674609        4.705184E+04
       5852.41698047        4.609905E+04
       5854.65721484        4.519098E+04
       5856.89793750        4.444615E+04
       5859.13963672        4.412917E+04
       5861.38182422        4.438791E+04
       5863.62450000        4.490918E+04
       5865.86864062        4.499743E+04
       5868.11278125        4.498519E+04
       5870.35789844        4.492445E+04
       5872.60350391        4.468945E+04
       5874.85008594        4.385484E+04
       5877.09715625        4.230762E+04
       5879.34569141        4.015406E+04
       5881.59373828        3.711883E+04
       5883.84325000        3.317042E+04
       5886.09276172        2.860984E+04
       5888.34373828        2.426952E+04
       5890.59471484        2.098902E+04
       5892.84666797        1.997176E+04
       5895.09910937        2.139710E+04
       5897.35155078        2.427039E+04
       5899.60545703        2.830726E+04
       5901.85985156        3.325563E+04
       5904.11473437        3.759836E+04
       5906.37059375        4.054622E+04
       5908.62596484        4.229331E+04
       5910.88231250        4.333856E+04
       5913.14012500        4.394549E+04
       5915.39793750        4.427479E+04
       5917.65672656        4.456937E+04
       5919.91600391        4.503642E+04
       5922.17576953        4.552526E+04
       5924.43553516        4.600772E+04
       5926.69676562        4.649880E+04
       5928.95848437        4.692370E+04
       5931.22020312        4.720418E+04
       5933.48289844        4.739921E+04
       5935.74608203        4.769590E+04
       5938.01024219        4.786858E+04
       5940.27489062        4.796020E+04
       5942.53953906        4.804367E+04
       5944.80516406        4.820496E+04
       5947.07176562        4.835746E+04
       5949.33885547        4.831145E+04
       5951.60643359        4.811651E+04
       5953.87450000        4.810644E+04
       5956.14354297        4.826977E+04
       5958.41258594        4.858042E+04
       5960.68260547        4.903612E+04
       5962.95360156        4.938514E+04
       5965.22410937        4.960943E+04
       5967.49657031        4.965573E+04
       5969.76805469        4.982387E+04
       5972.04198047        4.986577E+04
       5974.31541797        4.964408E+04
       5976.58983203        4.946748E+04
       5978.86375781        4.934814E+04
       5981.13914844        4.952113E+04
       5983.41600391        4.986669E+04
       5985.69285937        5.016179E+04
       5987.96922656        5.059079E+04
       5990.24705859        5.118805E+04
       5992.52537891        5.170637E+04
       5994.80467578        5.199207E+04
       5997.08494922        5.186919E+04
       5999.36473437        5.153970E+04
       6001.64647266        5.118980E+04
       6003.92723437        5.105338E+04
       6006.20994922        5.111210E+04
       6008.49266406        5.121429E+04
       6010.77440234        5.126159E+04
       6013.05907031        5.131418E+04
       6015.34373828        5.130996E+04
       6017.62889453        5.127742E+04
       6019.91405078        5.146752E+04
       6022.20018359        5.185581E+04
       6024.48778125        5.255378E+04
       6026.77537891        5.351780E+04
       6029.06346484        5.434818E+04
       6031.35252734        5.482962E+04
       6033.64158984        5.502350E+04
       6035.93162891        5.502452E+04
       6038.22215625        5.501566E+04
       6040.51268359        5.517778E+04
       6042.80467578        5.562385E+04
       6045.09764453        5.615912E+04
       6047.39012500        5.652230E+04
       6049.68358203        5.656490E+04
       6051.97801562        5.630417E+04
       6054.27293750        5.601207E+04
       6056.56834766        5.574778E+04
       6058.86424609        5.557033E+04
       6061.16063281        5.541577E+04
       6063.45848437        5.539634E+04
       6065.75535937        5.563514E+04
       6068.05418750        5.610888E+04
       6070.35350391        5.697403E+04
       6072.65330859        5.751653E+04
       6074.95408984        5.741035E+04
       6077.25438281        5.705894E+04
       6079.55614062        5.664639E+04
       6081.85789844        5.635509E+04
       6084.15965625        5.628943E+04
       6086.46385547        5.630699E+04
       6088.76805469        5.641005E+04
       6091.07225391        5.649758E+04
       6093.37742969        5.647388E+04
       6095.68309375        5.620952E+04
       6097.98875781        5.541507E+04
       6100.29637500        5.433175E+04
       6102.60350391        5.366501E+04
       6104.91160937        5.385418E+04
       6107.22020312        5.530840E+04
       6109.52977344        5.678446E+04
       6111.83983203        5.718681E+04
       6114.15037891        5.658955E+04
       6116.46141406        5.507797E+04
       6118.77293750        5.298365E+04
       6121.08592578        5.131635E+04
       6123.39842578        5.085582E+04
       6125.71190234        5.265250E+04
       6128.02635547        5.542982E+04
       6130.34080859        5.686568E+04
       6132.65623828        5.680782E+04
       6134.97215625        5.617050E+04
       6137.28953906        5.561107E+04
       6139.60643359        5.593013E+04
       6141.92430469        5.705991E+04
       6144.24266406        5.799619E+04
       6146.56053516        5.814775E+04
       6148.88133594        5.779306E+04
       6151.20164844        5.687349E+04
       6153.52244922        5.538981E+04
       6155.84325000        5.297492E+04
       6158.16600391        4.961088E+04
       6160.48826953        4.639059E+04
       6162.81102344        4.385080E+04
       6165.13524219        4.379560E+04
       6167.45994922        4.588629E+04
       6169.78514453        4.830448E+04
       6172.11033984        5.049122E+04
       6174.43700000        5.279167E+04
       6176.76366016        5.445192E+04
       6179.09129687        5.528969E+04
       6181.41893359        5.535092E+04
       6183.74852344        5.479010E+04
       6186.07713672        5.374877E+04
       6188.40721484        5.277455E+04
       6190.73778125        5.212797E+04
       6193.06834766        5.217111E+04
       6195.40037891        5.283043E+04
       6197.73289844        5.370162E+04
       6200.06639453        5.431814E+04
       6202.39989062        5.478710E+04
       6204.73387500        5.513218E+04
       6207.06883594        5.492068E+04
       6209.40428516        5.398140E+04
       6211.73924609        5.252424E+04
       6214.07664844        5.112345E+04
       6216.41405078        5.014328E+04
       6218.75194141        4.984155E+04
       6221.08934375        4.986233E+04
       6223.42869922        4.970790E+04
       6225.76805469        4.949586E+04
       6228.10887500        4.938689E+04
       6230.44920703        4.945026E+04
       6232.79051562        4.969400E+04
       6235.13280078        5.019847E+04
       6237.47557422        5.050781E+04
       6239.81932422        5.025319E+04
       6242.16307422        5.010465E+04
       6244.50682422        5.037515E+04
       6246.85252734        5.091939E+04
       6249.19823047        5.118137E+04
       6251.54393359        5.081793E+04
       6253.89061328        5.008527E+04
       6256.23826953        4.961433E+04
       6258.58592578        4.985877E+04
       6260.93504687        5.069788E+04
       6263.28416797        5.212257E+04
       6265.63475391        5.340842E+04
       6267.98436328        5.390874E+04
       6270.33592578        5.408059E+04
       6272.68748828        5.404753E+04
       6275.04002734        5.392722E+04
       6277.39305469        5.382721E+04
       6279.74608203        5.418000E+04
       6282.10057422        5.501097E+04
       6284.45604297        5.592903E+04
       6286.81053516        5.665104E+04
       6289.16698047        5.679195E+04
       6291.52293750        5.651677E+04
       6293.88084766        5.596854E+04
       6296.23826953        5.571947E+04
       6298.59666797        5.584914E+04
       6300.95506641        5.623578E+04
       6303.31444141        5.693585E+04
       6305.67479297        5.767030E+04
       6308.03563281        5.845302E+04
       6310.39744922        5.896930E+04
       6312.75975391        5.911115E+04
       6315.12205859        5.906521E+04
       6317.48533984        5.924100E+04
       6319.84862109        5.972689E+04
       6322.21287891        6.044594E+04
       6324.57860156        6.106913E+04
       6326.94432422        6.148891E+04
       6329.31053516        6.177987E+04
       6331.67723437        6.189616E+04
       6334.04491016        6.197597E+04
       6336.41258594        6.187451E+04
       6338.78172656        6.196559E+04
       6341.15037891        6.240428E+04
       6343.51951953        6.293202E+04
