# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       6665.20680469        1.513995E+05
       6667.68532031        1.533772E+05
       6670.16481250        1.539496E+05
       6672.64381641        1.528489E+05
       6675.12379688        1.514164E+05
       6677.60426563        1.509528E+05
       6680.08619922        1.516910E+05
       6682.56764453        1.529285E+05
       6685.05006641        1.534869E+05
       6687.53297656        1.535284E+05
       6690.01735156        1.531493E+05
       6692.50075000        1.527098E+05
       6694.98561328        1.527518E+05
       6697.47047656        1.532997E+05
       6699.95680469        1.540811E+05
       6702.44215625        1.542375E+05
       6704.93043750        1.536785E+05
       6707.41774219        1.523949E+05
       6709.90553516        1.502004E+05
       6712.39430469        1.484261E+05
       6714.88356250        1.479189E+05
       6717.37282031        1.487698E+05
       6719.86305469        1.502819E+05
       6722.35426563        1.515373E+05
       6724.84547656        1.524174E+05
       6727.33717578        1.528598E+05
       6729.82936328        1.530726E+05
       6732.32301563        1.527373E+05
       6734.81617969        1.517858E+05
       6737.31032031        1.508118E+05
       6739.80494922        1.499694E+05
       6742.30006641        1.492997E+05
       6744.79616016        1.487049E+05
       6747.29274219        1.486475E+05
       6749.78981250        1.496795E+05
       6752.28688281        1.518924E+05
       6754.78492969        1.544908E+05
       6757.28395313        1.558052E+05
       6759.78297656        1.557447E+05
       6762.28297656        1.548950E+05
       6764.78346484        1.544535E+05
       6767.28395313        1.551660E+05
       6769.78541797        1.570117E+05
       6772.28688281        1.588673E+05
       6774.78981250        1.593981E+05
       6777.29274219        1.579321E+05
       6779.79616016        1.556630E+05
       6782.30055469        1.540165E+05
       6784.80543750        1.537997E+05
       6787.31080859        1.547934E+05
       6789.81715625        1.559032E+05
       6792.32252734        1.567651E+05
       6794.82985156        1.578772E+05
       6797.33766406        1.591032E+05
       6799.84547656        1.600506E+05
       6802.35426563        1.604831E+05
       6804.86305469        1.605869E+05
       6807.37282031        1.605331E+05
       6809.88160938        1.604885E+05
